Year Purchased,Manufacturer,Model,Number, Unit Price , Total Price ,Authority,Request data,Notes,Order of entry,76,76
2006,Attainment Company Inc,Go Talk 20+,3, £114.00 , £342.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,77,,
2006,#N/A,Leo,1,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,78,,
2006,Dynavox,MiniMo,2," £2,095.00 "," £4,190.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,79,,
2006,Attainment Company Inc,Go Talk Pocket,2, £135.00 , £270.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,80,,
2006,#N/A,Pocket Grid Upgrade,1,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,81,,
2006,?,Randomiser,2,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,82,,
2006,Toby Churchill,Lightwriter Printer,1, £195.00 , £195.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,83,,
2006,Liberator,Vantage Lite,1," £5,994.00 "," £5,994.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,Assumed vantage lite as vantage not sold? Maybe in that year? ,84,,
2007,Dynavox,Dynamo,2," £1,690.00 "," £3,380.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,85,,
2007,SMARTBOX ASSISTIVE TECHNOLOGY LTD                                ,FuturePad XP 8Gb ,1," £2,915.00 "," £2,915.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,86,,
2007,Attainment Company Inc,Go Talk 9+,1, £104.00 , £104.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,87,,
2007,Attainment Company Inc,Go Talk 20+,1, £114.00 , £114.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,88,,
2007,Liberator,Liberator 14,1, £-   , £-   ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,89,,
2007,#N/A,Motion Tablet,4,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,90,,
2007,Attainment Company Inc,Go Talk Pocket,2, £135.00 , £270.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,91,,
2007,Toby Churchill,SL35 Lightwriter,1," £2,930.00 "," £2,930.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,92,,
2007,Toby Churchill,SL87 Lightwriter,2," £2,830.00 "," £5,660.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,93,,
2007,SmartNav,SmartNAV 4,1, £270.00 , £270.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,94,,
2007,Inclusive,SuperTalker,1, £220.00 , £220.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,95,,
2008,Dynavox,V Max,1," £7,044.13 "," £7,044.13 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,96,,
2008,Attainment Company Inc,Go Talk 20+,1, £114.00 , £114.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,97,,
2008,#N/A,Powerbox 6,1,#N/A,#N/A,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,98,,
2008,Toby Churchill,SL40 Lightwriter,1," £3,300.00 "," £3,300.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,99,,
2008,SmartNav,SmartNAV 4 Pro ,1, £320.00 , £320.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,100,,
2008,Liberator,Springboard Lite ,3," £1,794.00 "," £5,382.00 ",Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,101,,
2008,Ablenet,Talk Trac Plus,1, £72.00 , £72.00 ,Fife NHS Board,http://www.whatdotheyknow.com/request/aac_provision_5/new,,102,,
